freq,unit,tra_mode,geo,year,value
A,PC,IWW,BE,2005,13.5
A,PC,IWW,BE,2006,13.6
A,PC,IWW,BE,2007,13.4
A,PC,IWW,BE,2008,13.5
A,PC,IWW,BE,2009,12.2
A,PC,IWW,BE,2010,14.6
A,PC,IWW,BE,2011,14.8
A,PC,IWW,BE,2012,16.4
A,PC,IWW,BE,2013,15.9
A,PC,IWW,BE,2014,15.9
A,PC,IWW,BE,2015,15.2
A,PC,IWW,BE,2016,14.7
A,PC,IWW,BE,2017,15.6
A,PC,IWW,BE,2018,11.9
A,PC,IWW,BE,2019,11.3
A,PC,IWW,BE,2020,11.0
A,PC,IWW,BE,2021,11.5
A,PC,IWW,BE,2022,11.2
A,PC,IWW,BE,2023,10.7
A,PC,RAIL,BE,2005,12.8
A,PC,RAIL,BE,2006,13.1
A,PC,RAIL,BE,2007,13.8
A,PC,RAIL,BE,2008,13.7
A,PC,RAIL,BE,2009,11.0
A,PC,RAIL,BE,2010,12.0
A,PC,RAIL,BE,2011,12.2
A,PC,RAIL,BE,2012,11.4
A,PC,RAIL,BE,2013,11.0
A,PC,RAIL,BE,2014,11.1
A,PC,RAIL,BE,2015,11.2
A,PC,RAIL,BE,2016,11.1
A,PC,RAIL,BE,2017,11.1
A,PC,RAIL,BE,2018,12.3
A,PC,RAIL,BE,2019,12.1
A,PC,RAIL,BE,2020,11.6
A,PC,RAIL,BE,2021,11.8
A,PC,RAIL,BE,2022,12.4
A,PC,RAIL,BE,2023,11.7
A,PC,RAIL_IWW_AVD,BE,2005,26.3
A,PC,RAIL_IWW_AVD,BE,2006,26.7
A,PC,RAIL_IWW_AVD,BE,2007,27.1
A,PC,RAIL_IWW_AVD,BE,2008,27.2
A,PC,RAIL_IWW_AVD,BE,2009,23.3
A,PC,RAIL_IWW_AVD,BE,2010,26.6
A,PC,RAIL_IWW_AVD,BE,2011,27.0
A,PC,RAIL_IWW_AVD,BE,2012,27.8
A,PC,RAIL_IWW_AVD,BE,2013,26.9
A,PC,RAIL_IWW_AVD,BE,2014,27.0
A,PC,RAIL_IWW_AVD,BE,2015,26.4
A,PC,RAIL_IWW_AVD,BE,2016,25.7
A,PC,RAIL_IWW_AVD,BE,2017,26.7
A,PC,RAIL_IWW_AVD,BE,2018,24.2
A,PC,RAIL_IWW_AVD,BE,2019,23.4
A,PC,RAIL_IWW_AVD,BE,2020,22.6
A,PC,RAIL_IWW_AVD,BE,2021,23.3
A,PC,RAIL_IWW_AVD,BE,2022,23.5
A,PC,RAIL_IWW_AVD,BE,2023,22.4
A,PC,ROAD,BE,2005,73.7
A,PC,ROAD,BE,2006,73.3
A,PC,ROAD,BE,2007,72.9
A,PC,ROAD,BE,2008,72.8
A,PC,ROAD,BE,2009,76.7
A,PC,ROAD,BE,2010,73.4
A,PC,ROAD,BE,2011,73.0
A,PC,ROAD,BE,2012,72.2
A,PC,ROAD,BE,2013,73.1
A,PC,ROAD,BE,2014,73.0
A,PC,ROAD,BE,2015,73.6
A,PC,ROAD,BE,2016,74.3
A,PC,ROAD,BE,2017,73.3
A,PC,ROAD,BE,2018,75.8
A,PC,ROAD,BE,2019,76.6
A,PC,ROAD,BE,2020,77.4
A,PC,ROAD,BE,2021,76.7
A,PC,ROAD,BE,2022,76.5
A,PC,ROAD,BE,2023,77.6
